type,duration_s,fps,width,height,total_frames,pixels_per_frame_M,bitrate_kbps,cpu_true,mem_true
video,148.4,30,3840,2202,4452.871961576774,8.4557,41886.0,526.65,1484.44
video,317.2,25,1920,1423,7930.996964524744,2.7322,34810.0,664.18,1863.44
video,546.4,30,1920,1711,16392.172917802865,3.2851,45363.0,1203.1,3403.62
video,2.4,60,3840,2191,144.41188337600548,8.4134,32065.0,550.27,572.67
video,240.6,30,3840,2242,7217.87773864187,8.6093,30546.0,684.11,2086.71
video,53.4,25,1920,1547,1334.5265476942952,2.9702,22318.0,167.28,523.32
video,365.6,15,160,150,5483.544064619156,0.024,49688.0,594.06,1906.7
video,274.8,60,7680,6053,16486.764119308576,46.487,36301.0,2399.39,4104.99
video,460.8,24,1280,670,11058.99729143147,0.8576,34926.0,894.21,2210.9
video,301.5,24,854,574,7236.743758615959,0.4902,29383.0,600.03,1685.21
video,229.1,25,640,540,5726.599573631223,0.3456,3941.0,439.21,1176.84
video,385.9,25,854,618,9647.74406552378,0.5278,12218.0,811.05,1859.34
video,147.9,60,854,702,8871.337572326986,0.5995,46722.0,336.13,842.99
video,95.5,25,854,631,2387.4528867262807,0.5389,44796.0,193.24,537.3
video,560.3,25,320,278,14008.106357977877,0.089,37117.0,1068.07,2964.43
video,38.1,24,854,569,914.5390921411508,0.4859,45862.0,85.7,246.9
video,151.6,30,7680,6345,4546.6781254448115,48.7296,4490.0,1357.5,3717.03
video,410.3,25,854,657,10258.682633036737,0.5611,14420.0,704.11,2123.41
video,525.1,25,320,273,13128.676799209718,0.0874,36516.0,1100.72,2610.36
video,346.4,15,1920,1357,5195.636817520825,2.6054,5283.0,623.16,1809.33
video,89.4,15,3840,2690,1340.571046826295,10.3296,39923.0,320.61,1340.91
video,19.3,60,1920,990,1160.0000331584815,1.9008,10612.0,166.39,231.95
video,396.5,25,1280,1277,9912.840233918569,1.6346,46120.0,843.51,2239.28
video,24.9,15,3840,3159,373.2519037963043,12.1306,35933.0,227.23,960.68
video,49.4,24,1280,886,1186.7280157444227,1.1341,18861.0,120.67,316.41
video,451.8,25,1280,1045,11295.532567863993,1.3376,16041.0,821.86,2306.55
video,365.8,15,160,106,5487.393412307876,0.017,5701.0,732.19,1894.53
video,82.5,15,7680,6278,1237.7060108860974,48.215,5777.0,654.67,4210.81
video,273.7,60,320,203,16424.322743550998,0.065,8022.0,530.79,1377.24
video,20.9,15,320,188,313.43102998948115,0.0602,23975.0,40.22,131.16
video,426.7,60,160,102,25602.21642761849,0.0163,3572.0,1081.03,2252.42
video,567.1,60,7680,6966,34023.24642226593,53.4989,14096.0,4009.03,6540.1
video,10.8,15,160,135,162.17778858805912,0.0216,38662.0,28.12,61.9
video,39.5,60,1920,1632,2367.3060128473426,3.1334,16810.0,256.48,429.32
video,133.4,60,7680,5400,8006.849964800974,41.472,16977.0,2269.63,3607.11
video,259.8,15,3840,3353,3897.3498157490185,12.8755,23112.0,557.05,2068.85
video,529.1,15,320,256,7936.791529864051,0.0819,35357.0,1005.43,2681.19
video,35.1,30,640,533,1051.5346776068513,0.3411,14980.0,98.43,214.5
video,424.0,25,7680,3943,10599.654213025238,30.2822,49181.0,1481.78,3865.98
video,431.5,30,160,101,12945.57719908534,0.0162,21059.0,922.99,2073.96
video,138.2,60,320,177,8290.535429921418,0.0566,18793.0,298.84,709.78
video,439.2,25,1920,999,10980.62499151478,1.9181,7324.0,1021.71,1957.67
video,300.7,25,160,126,7517.034752325006,0.0202,2248.0,653.24,1374.63
video,550.8,25,3840,3572,13770.630740281644,13.7165,37458.0,1232.14,3768.86
video,230.1,60,160,129,13807.9197674908,0.0206,26515.0,521.03,1196.19
video,34.5,30,3840,2546,1035.3424988559836,9.7766,46251.0,331.78,987.84
video,53.3,24,640,389,1280.2531121201075,0.249,4309.0,127.49,312.47
video,162.3,15,640,584,2434.9711272587338,0.3738,46700.0,311.47,856.37
video,152.0,60,160,153,9117.99914327892,0.0245,11808.0,374.36,781.02
video,254.7,60,160,132,15279.987130911315,0.0211,3166.0,466.79,1394.08
video,140.3,30,1920,1443,4209.372184829768,2.7706,5859.0,411.67,853.76
video,575.2,60,640,612,34509.03294993424,0.3917,14348.0,1044.13,3035.94
video,218.2,60,640,345,13093.234402508544,0.2208,26052.0,550.28,1074.13
video,308.9,15,320,258,4634.067963016396,0.0826,25997.0,661.83,1639.27
video,47.3,30,160,103,1419.878783596352,0.0165,48423.0,102.72,247.52
video,264.7,60,7680,7407,15879.801113772606,56.8858,13187.0,3248.19,5049.43
video,22.7,25,1280,1207,567.629937500324,1.545,47654.0,82.7,247.81
video,202.5,30,160,111,6076.014798578434,0.0178,40405.0,396.91,1112.91
video,395.2,30,3840,2365,11856.672942402583,9.0816,374.0,1152.86,2521.6
video,217.3,24,640,601,5215.514318740356,0.3846,45657.0,344.85,1253.96
video,94.0,15,3840,2285,1409.9120213058961,8.7744,21139.0,261.56,1018.04
video,546.3,30,7680,6959,16388.565818541672,53.4451,45847.0,2333.68,7006.34
video,337.2,15,7680,7196,5058.408349171409,55.2653,42115.0,983.51,4059.19
video,554.3,30,3840,2952,16629.285777728797,11.3357,12475.0,1413.19,3274.92
video,476.1,60,1920,1240,28568.39666059959,2.3808,33140.0,1007.25,2390.08
video,325.9,24,160,114,7821.421902180922,0.0182,16447.0,718.31,1684.24
video,197.2,60,1920,1465,11832.392107150272,2.8128,7774.0,540.2,1312.34
video,288.2,60,320,315,17290.407284289195,0.1008,33826.0,591.63,1470.99
video,127.7,30,160,158,3829.9070812698496,0.0253,24402.0,298.27,602.2
video,325.0,15,320,201,4874.538900719115,0.0643,3528.0,675.62,1491.74
video,574.5,30,160,154,17235.635476707772,0.0246,7926.0,1280.48,2518.17
video,280.1,24,1920,1609,6721.516009049294,3.0893,246.0,657.52,1627.62
video,501.7,24,3840,2652,12039.712742769498,10.1837,34282.0,1212.39,2990.68
video,205.5,30,3840,3149,6163.731824036887,12.0922,44958.0,627.42,1859.84
video,446.3,24,1280,766,10711.222843096242,0.9805,49535.0,857.06,1990.18
video,530.9,15,160,114,7963.0150359114705,0.0182,48650.0,967.19,2824.47
video,24.3,24,640,427,583.0469165716164,0.2733,15900.0,51.26,157.45
video,450.7,25,160,95,11266.619058490996,0.0152,49139.0,793.95,2765.03
video,127.9,30,7680,6426,3837.4325206279445,49.3517,11491.0,1309.46,3807.49
video,214.3,24,3840,3479,5142.844785566546,13.3594,30735.0,786.63,2034.75
video,17.5,25,160,156,437.0939877628182,0.025,3639.0,43.04,127.51
video,126.3,30,854,444,3788.149551111155,0.3792,16344.0,263.72,553.9
video,84.7,15,1280,843,1270.7180558910472,1.079,24488.0,211.41,435.85
video,568.3,30,320,183,17050.231446758546,0.0586,24842.0,1182.85,3506.8
video,564.6,30,854,819,16939.251513840907,0.6994,23333.0,1186.43,3392.29
video,523.0,60,1920,1473,31378.90521029559,2.8282,8038.0,1536.81,2663.44
video,415.7,60,7680,4659,24944.004578964064,35.7811,18909.0,2464.94,4186.82
video,57.9,25,160,147,1448.6154283483127,0.0235,3206.0,112.16,312.97
video,542.2,24,7680,5280,13012.780524279997,40.5504,35450.0,1763.21,5136.86
video,453.5,30,7680,7339,13605.939309617683,56.3635,520.0,2149.53,5832.46
video,386.7,25,160,153,9668.744475701862,0.0245,3188.0,732.77,2063.42
video,469.9,15,1280,880,7048.823491070606,1.1264,49180.0,1058.35,2489.86
video,333.6,60,160,118,20014.18053781251,0.0189,4169.0,641.98,1777.68
video,355.0,15,854,763,5324.291066873218,0.6516,29505.0,794.79,1851.34
video,102.6,24,854,507,2463.371353289745,0.433,10226.0,208.05,607.79
video,527.8,15,160,134,7917.430939590839,0.0214,3231.0,881.59,2686.54
video,203.4,25,160,133,5086.052807276125,0.0213,24574.0,432.09,978.48
video,477.5,25,1920,1774,11938.337244548247,3.4061,29150.0,1064.54,2401.09
video,334.2,25,7680,6849,8355.95390535858,52.6003,29524.0,1621.63,5479.64
video,542.2,60,1920,1184,32530.131346275262,2.2733,45069.0,1204.94,3163.01
video,115.1,25,7680,5216,2876.4183594991364,40.0589,37048.0,895.54,2964.82
video,580.9,24,7680,3937,13940.703720280537,30.2362,31034.0,2001.94,5808.07
video,339.8,30,320,192,10195.258680635166,0.0614,40543.0,677.83,1628.3
video,168.2,15,7680,6053,2523.1719647414916,46.487,48522.0,930.74,3539.54
video,178.5,15,160,93,2677.153176158696,0.0149,597.0,405.57,1046.75
video,500.2,25,7680,4262,12505.60739932472,32.7322,26783.0,1354.68,4859.25
video,168.5,25,854,473,4213.615007679529,0.4039,40625.0,415.89,938.31
video,101.0,25,3840,3480,2525.7686613333713,13.3632,28433.0,415.54,1609.58
video,510.8,60,640,380,30645.28995109549,0.2432,42311.0,1185.91,2684.14
video,295.4,25,7680,5282,7383.97391438972,40.5658,38990.0,1607.94,3776.15
video,500.4,30,160,108,15011.67504496201,0.0173,13640.0,1110.84,2194.82
video,441.4,24,7680,5444,10593.362598544041,41.8099,39114.0,1704.32,6128.43
video,593.2,60,7680,4784,35593.24487467031,36.7411,17703.0,3030.83,5576.75
video,495.0,60,320,210,29701.951506051744,0.0672,11321.0,771.64,2191.84
video,349.6,25,160,99,8740.2422862961,0.0158,3706.0,650.54,1883.53
video,69.6,25,3840,3703,1739.500743247727,14.2195,25092.0,441.17,1290.16
video,413.4,30,320,297,12402.277490777877,0.095,20398.0,856.81,1961.53
video,375.8,25,1920,1336,9394.89333202428,2.5651,47597.0,832.25,2088.99
video,136.7,30,640,628,4101.160258804053,0.4019,24994.0,288.21,702.34
video,228.4,30,1280,750,6853.2529728844565,0.96,43105.0,491.27,1255.77
video,522.1,24,640,546,12529.677203205403,0.3494,48652.0,976.53,2739.16
video,72.3,15,160,94,1084.2760510698213,0.015,18040.0,143.53,366.31
video,454.6,25,320,176,11365.347684729364,0.0563,23636.0,961.94,2110.12
video,500.8,60,7680,7573,30045.713248746964,58.1606,34231.0,3374.42,6932.41
video,551.4,15,160,128,8271.738028322541,0.0205,18946.0,1347.56,2807.71
video,14.5,24,3840,2962,347.16333653245516,11.3741,33377.0,286.59,988.39
video,229.3,25,320,278,5731.654750897237,0.089,45745.0,491.49,1086.5
video,505.3,30,7680,6457,15158.730296085025,49.5898,28382.0,2089.54,6071.35
video,546.3,60,640,378,32779.46193586394,0.2419,10288.0,1105.37,2858.15
video,151.8,30,640,475,4553.704664386832,0.304,14284.0,330.7,761.25
video,521.3,25,7680,3964,13031.470280755098,30.4435,41773.0,1753.94,4769.95
video,435.4,15,1920,1589,6530.924553068204,3.0509,11106.0,1009.33,2487.63
video,190.4,30,3840,2220,5711.480582615595,8.5248,166.0,598.38,1320.09
video,276.4,60,1920,1248,16585.690440499635,2.3962,25560.0,726.86,1777.89
video,247.6,30,1920,1577,7429.277359362379,3.0278,38867.0,644.25,1278.69
video,586.6,25,1280,750,14664.025268980256,0.96,17286.0,1568.73,2734.51
video,225.4,24,320,196,5409.030291750506,0.0627,26050.0,489.06,923.23
video,90.0,60,640,471,5400.968584860848,0.3014,2216.0,242.2,426.27
video,436.7,30,320,219,13101.403044677792,0.0701,44702.0,958.48,2220.11
video,260.1,30,320,178,7802.469951520696,0.057,16635.0,499.28,1608.69
video,137.0,30,854,571,4108.763389569015,0.4876,25180.0,238.9,781.86
video,503.9,25,320,196,12597.454727613396,0.0627,37219.0,1242.54,2124.87
video,536.1,60,854,747,32166.59272712873,0.6379,37608.0,1110.96,2672.85
video,375.2,15,1280,1265,5627.713022703717,1.6192,9349.0,797.16,1965.02
video,195.8,30,1920,1619,5874.4249968732265,3.1085,2491.0,489.39,1449.64
video,36.6,24,1920,1262,877.4117868330541,2.423,24443.0,125.06,374.56
video,107.9,25,160,154,2696.3820202992947,0.0246,38923.0,217.06,585.95
video,238.5,24,7680,5597,5724.949851063537,42.985,42875.0,988.23,4602.43
video,164.3,24,3840,2212,3943.134185630277,8.4941,43630.0,467.03,1208.52
video,170.4,30,1920,1231,5110.522344735668,2.3635,34000.0,348.03,970.82
video,487.2,15,3840,2887,7308.583319181981,11.0861,31615.0,992.01,3280.87
video,38.4,60,1920,1192,2302.40845410557,2.2886,26594.0,168.25,361.15
video,278.3,24,640,454,6678.975984646975,0.2906,21391.0,632.38,1346.42
video,136.7,30,320,226,4101.232217776651,0.0723,19243.0,275.54,754.0
video,283.4,24,160,80,6802.018247817148,0.0128,47596.0,633.62,1589.68
video,109.3,60,320,235,6559.283388867709,0.0752,38588.0,226.1,546.87
video,66.7,25,1280,1253,1666.717188526923,1.6038,25850.0,146.38,365.99
video,128.3,60,1280,883,7699.472120440747,1.1302,16790.0,292.83,679.45
video,463.2,24,320,207,11117.31775067281,0.0662,30071.0,1068.34,2157.86
video,388.6,60,854,752,23318.481589784395,0.6422,48085.0,897.27,2101.69
video,292.1,15,1920,1790,4382.127137498527,3.4368,29159.0,578.95,1686.61
video,388.4,25,640,393,9709.481389370338,0.2515,20927.0,816.38,1977.65
video,538.3,24,1280,683,12919.99824908674,0.8742,7005.0,1194.96,2850.78
video,197.0,25,854,719,4924.573361102972,0.614,40123.0,371.82,1173.61
video,579.2,60,640,320,34753.74976192221,0.2048,22184.0,827.74,2685.86
video,83.7,24,3840,1948,2009.9498736662354,7.4803,27678.0,297.05,1060.64
